date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:54	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Oct%202024%2010:47:54%20GMT	https://profile.cheetastylecoding.com/robots.txt		(from )
15:47:54	31752/31752	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2018:36:00%20GMT	https://profile.cheetastylecoding.com/	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/index.html	(from )
15:47:55	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Oct%202024%2010:47:56%20GMT	https://profile.cheetastylecoding.com/assets/img/apple-touch-icon.png	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/img/apple-touch-icon.png	(from https://profile.cheetastylecoding.com/)
15:47:56	86545/86545	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Dec%202023%2003:38:40%20GMT	https://profile.cheetastylecoding.com/assets/img/favicon.png	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/img/favicon.png	(from https://profile.cheetastylecoding.com/)
15:47:56	28765/28765	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20May%202023%2000:27:14%20GMT	https://profile.cheetastylecoding.com/assets/vendor/aos/aos.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/aos/aos.css	(from https://profile.cheetastylecoding.com/)
15:47:58	98255/98255	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2013:55:44%20GMT	https://profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://profile.cheetastylecoding.com/)
15:47:58	232948/232948	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2013:55:44%20GMT	https://profile.cheetastylecoding.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://profile.cheetastylecoding.com/)
15:48:00	68028/68028	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://profile.cheetastylecoding.com/)
15:48:00	13749/13749	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/glightbox/css/glightbox.min.css	(from https://profile.cheetastylecoding.com/)
15:48:00	16493/16493	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202023%2002:33:36%20GMT	https://profile.cheetastylecoding.com/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://profile.cheetastylecoding.com/)
15:48:01	19555/19555	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Nov%202023%2015:00:20%20GMT	https://profile.cheetastylecoding.com/assets/css/style.css	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/css/style.css	(from https://profile.cheetastylecoding.com/)
15:48:02	31752/31752	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2018:36:00%20GMT	https://profile.cheetastylecoding.com/index.html	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/index-2.html	(from https://profile.cheetastylecoding.com/)
15:48:02	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Oct%202024%2010:48:03%20GMT	https://profile.cheetastylecoding.com/@khanzadda401	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/@khanzadda401	(from https://profile.cheetastylecoding.com/)
15:48:03	5417/5417	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/purecounter/purecounter_vanilla.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/purecounter/purecounter_vanilla.js	(from https://profile.cheetastylecoding.com/)
15:48:04	13800/13800	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202023%2000:27:14%20GMT	https://profile.cheetastylecoding.com/assets/vendor/aos/aos.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/aos/aos.js	(from https://profile.cheetastylecoding.com/)
15:48:04	714629/714629	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Dec%202023%2005:02:56%20GMT	https://profile.cheetastylecoding.com/assets/img/profile-img.jpg	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/img/profile-img.jpg	(from https://profile.cheetastylecoding.com/)
